
List of user-set options:

                                    Name   Value                used
                   hessian_approximation = limited-memory        yes
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 8000                  yes
                             mu_strategy = adaptive              yes
                             output_file = orbitTransferIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-08                 yes
This is Ipopt version trunk, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:     5847
Number of nonzeros in inequality constraint Jacobian.:        1
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1022
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     1022
                     variables with only upper bounds:        0
Total number of equality constraints.................:      768
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0
  43 -9.0668681e-01 1.11e-02 9.37e-04  -5.1 1.05e-01    -  1.00e+00 1.00e+00h  1
  44 -9.0689801e-01 3.27e-03 9.55e-04  -5.8 5.72e-02    -  1.00e+00 1.00e+00h  1
  45 -9.0695140e-01 2.70e-03 1.12e-03  -5.9 5.08e-02    -  1.00e+00 1.00e+00h  1
  46 -9.0692143e-01 1.07e-01 4.93e-02  -5.5 3.27e-01    -  6.31e-01 1.00e+00h  1
  47 -9.0709264e-01 5.43e-02 2.91e-03  -5.7 2.32e-01    -  1.00e+00 1.00e+00h  1
  48 -9.0702775e-01 4.86e-02 3.43e-01  -4.9 3.58e-01    -  1.00e+00 2.22e-01h  1
  49 -9.0659284e-01 1.52e-02 1.13e-01  -5.0 1.21e-01    -  7.67e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 -9.0659461e-01 6.50e-03 2.56e-03  -5.0 8.06e-02    -  1.00e+00 1.00e+00h  1
  51 -9.0678000e-01 4.11e-03 1.20e-03  -5.3 6.40e-02    -  1.00e+00 1.00e+00h  1
  52 -9.0682086e-01 1.55e-03 2.39e-02  -5.4 4.85e-02    -  1.00e+00 7.32e-01h  1
  53 -9.0685882e-01 1.43e-02 3.29e-03  -5.4 1.16e-01    -  1.00e+00 1.00e+00f  1
  54 -9.0689285e-01 2.11e-02 4.34e-03  -5.4 1.45e-01    -  1.00e+00 1.00e+00h  1
  55 -9.0694510e-01 4.11e-02 4.30e-03  -5.4 2.21e-01    -  1.00e+00 9.11e-01h  1
  56 -9.0699891e-01 2.24e-02 2.08e-03  -5.4 1.50e-01    -  1.00e+00 1.00e+00h  1
  57 -9.0674233e-01 4.05e-03 4.85e-03  -5.2 6.50e-02    -  1.00e+00 9.58e-01h  1
  58 -9.0677417e-01 1.99e-03 4.45e-04  -5.3 4.33e-02    -  1.00e+00 1.00e+00h  1
  59 -9.0677667e-01 2.51e-02 3.07e-03  -5.3 1.55e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 -9.0692386e-01 7.84e-01 7.45e-02  -5.3 1.21e+00    -  1.00e+00 7.28e-01h  1
  61 -9.0720084e-01 2.18e-01 1.48e-02  -5.3 4.49e-01    -  1.00e+00 1.00e+00h  1
  62 -9.0725148e-01 1.17e-01 8.42e-02  -4.9 3.41e-01    -  9.09e-01 1.00e+00h  1
  63 -9.0710427e-01 7.20e-02 1.74e-01  -4.7 2.47e-01    -  8.86e-01 4.81e-01h  1
  64 -9.0667655e-01 1.26e-02 1.62e-03  -5.2 1.12e-01    -  1.00e+00 1.00e+00h  1
  65 -9.0686782e-01 4.32e-02 1.61e-03  -5.3 2.08e-01    -  1.00e+00 1.00e+00h  1
  66 -9.0685564e-01 1.83e-02 1.03e-03  -5.3 1.35e-01    -  1.00e+00 1.00e+00h  1
  67 -9.0678723e-01 1.13e-02 1.35e-03  -5.3 1.06e-01    -  7.91e-01 1.00e+00h  1
  68 -9.0675213e-01 4.56e-03 1.37e-03  -5.3 4.19e-02    -  1.00e+00 1.00e+00h  1
  69 -9.0690339e-01 1.64e-03 6.51e-04  -5.7 3.47e-02    -  9.98e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70 -9.0706862e-01 1.44e-02 2.57e-03  -6.0 8.66e-02    -  1.00e+00 1.00e+00h  1
  71 -9.0714682e-01 3.66e-02 4.89e-03  -6.1 2.21e-01    -  8.53e-01 8.61e-01h  1
  72 -9.0714254e-01 2.02e-02 4.41e-03  -5.9 1.42e-01    -  1.00e+00 1.00e+00f  1
  73 -9.0707958e-01 2.24e-02 1.97e-03  -5.6 1.47e-01    -  1.00e+00 1.00e+00h  1
  74 -9.0707202e-01 2.24e-02 2.59e-03  -5.7 1.32e-01    -  1.00e+00 6.41e-01h  1
  75 -9.0706996e-01 2.35e-03 9.81e-04  -6.0 4.26e-02    -  1.00e+00 1.00e+00h  1
  76 -9.0715370e-01 3.06e-03 1.62e-03  -6.5 3.67e-02    -  1.00e+00 1.00e+00h  1
  77 -9.0716453e-01 6.96e-03 2.58e-03  -6.2 8.34e-02    -  1.00e+00 1.00e+00h  1
  78 -9.0720918e-01 4.91e-03 1.09e-03  -6.7 7.01e-02    -  1.00e+00 1.00e+00h  1
  79 -9.0715642e-01 8.20e-04 3.59e-04  -6.4 1.69e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80 -9.0717898e-01 2.64e-04 4.64e-04  -6.8 1.18e-02    -  1.00e+00 1.00e+00h  1
  81 -9.0716342e-01 1.29e-02 2.37e-03  -6.4 5.50e-02    -  1.00e+00 1.00e+00h  1
  82 -9.0717806e-01 1.18e-03 1.27e-03  -6.5 3.43e-02    -  1.00e+00 1.00e+00h  1
  83 -9.0716964e-01 8.64e-05 3.15e-04  -6.5 7.71e-03    -  1.00e+00 1.00e+00h  1
  84 -9.0719527e-01 1.55e-04 6.53e-04  -7.2 1.52e-02    -  1.00e+00 9.99e-01h  1
  85 -9.0718605e-01 1.45e-02 3.56e-02  -6.6 2.02e-01    -  9.64e-01 5.75e-01h  1
  86 -9.0723577e-01 9.41e-03 1.10e-01  -6.7 9.69e-02    -  5.44e-01 1.00e+00h  1
  87 -9.0716381e-01 3.20e-03 8.63e-02  -6.2 4.96e-02    -  1.00e+00 6.67e-01h  1
  88 -9.0714282e-01 1.33e-03 9.58e-04  -6.3 2.25e-02    -  1.00e+00 1.00e+00h  1
  89 -9.0714455e-01 5.24e-04 8.07e-04  -6.3 2.29e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90 -9.0714089e-01 7.19e-05 5.13e-04  -6.3 8.48e-03    -  1.00e+00 1.00e+00h  1
  91 -9.0717538e-01 4.90e-04 6.21e-04  -6.7 2.18e-02    -  1.00e+00 1.00e+00h  1
  92 -9.0718638e-01 2.16e-03 2.62e-03  -6.8 4.64e-02    -  1.00e+00 1.00e+00h  1
  93 -9.0720212e-01 1.78e-03 1.23e-03  -6.8 4.21e-02    -  1.00e+00 1.00e+00h  1
  94 -9.0719614e-01 4.62e-04 8.81e-04  -7.1 1.09e-02    -  1.00e+00 1.00e+00h  1
  95 -9.0720180e-01 8.70e-05 4.28e-04  -7.6 7.34e-03    -  1.00e+00 1.00e+00h  1
